Character,Word,Count
MICHAEL,amsterdam,4
MICHAEL,discussion,1
MICHAEL,legal,2
MICHAEL,clinic,1
MICHAEL,being,1
MICHAEL,fit,1
MICHAEL,supposed,10
MICHAEL,huge,1
MICHAEL,opportunity,1
MICHAEL,babe,2
MICHAEL,wanted,6
MICHAEL,live,6
MICHAEL,problems,1
MICHAEL,counseling,1
MICHAEL,down,22
MICHAEL,susan,10
MICHAEL,sort,1
MICHAEL,shakes,2
MICHAEL,job,2
MICHAEL,slows,1
MICHAEL,winter,1
MICHAEL,except,1
MICHAEL,yes,8
MICHAEL,laws,1
MICHAEL,side,2
MICHAEL,says,1
MICHAEL,treating,1
MICHAEL,child,1
MICHAEL,missed,2
MICHAEL,whole,3
MICHAEL,childhood,1
MICHAEL,grow,3
MICHAEL,place,5
MICHAEL,chased,1
MICHAEL,killed,4
MICHAEL,lives,3
MICHAEL,building,5
MICHAEL,filtration,1
MICHAEL,systems,1
MICHAEL,golf,1
MICHAEL,making,1
MICHAEL,sweet,1
MICHAEL,wants,6
MICHAEL,build,3
MICHAEL,raft,19
MICHAEL,optimism,1
MICHAEL,honest,1
MICHAEL,one's,1
MICHAEL,coming,16
MICHAEL,those,2
MICHAEL,seats,1
MICHAEL,fuselage,2
MICHAEL,float,1
MICHAEL,bunch,1
MICHAEL,trees,1
MICHAEL,bamboo,4
MICHAEL,leaving,4
MICHAEL,anybody,5
MICHAEL,god,7
MICHAEL,bless,1
MICHAEL,reading,1
MICHAEL,comic,2
MICHAEL,book,1
MICHAEL,art,1
MICHAEL,age,1
MICHAEL,older,1
MICHAEL,used,2
MICHAEL,trace,1
MICHAEL,books,1
MICHAEL,myself,1
MICHAEL,perspective,2
MICHAEL,happens,1
MICHAEL,voice,2
MICHAEL,miss,1
MICHAEL,who's,3
MICHAEL,needed,3
MICHAEL,lying,1
MICHAEL,piece,3
MICHAEL,metal,2
MICHAEL,plastic,2
MICHAEL,tubing,1
MICHAEL,frame,2
MICHAEL,you'll,3
MICHAEL,cushions,1
MICHAEL,tarp,1
MICHAEL,different,2
MICHAEL,piles,1
MICHAEL,stock,1
MICHAEL,punishment,1
MICHAEL,control,1
MICHAEL,destiny,1
MICHAEL,please,4
MICHAEL,thank,3
MICHAEL,whispering,4
MICHAEL,ear,1
MICHAEL,catch,2
MICHAEL,again,9
MICHAEL,what'd,6
MICHAEL,complicated,1
MICHAEL,hate,1
MICHAEL,punish,1
MICHAEL,change,2
MICHAEL,fine,5
MICHAEL,2,6
MICHAEL,next,2
MICHAEL,mom,3
MICHAEL,yet,3
MICHAEL,had,13
MICHAEL,run,2
MICHAEL,car,2
MICHAEL,never,7
MICHAEL,write,2
MICHAEL,joke,2
MICHAEL,newspaper,1
MICHAEL,laughing,2
MICHAEL,dumb,1
MICHAEL,considering,1
MICHAEL,conversation,1
MICHAEL,brian,9
MICHAEL,pretty,4
MICHAEL,year,3
MICHAEL,physical,1
MICHAEL,therapy,1
MICHAEL,sounds,1
MICHAEL,brian's,2
MICHAEL,roll,1
MICHAEL,kidding,1
MICHAEL,mood,1
MICHAEL,games,1
MICHAEL,where's,7
MICHAEL,lie,1
MICHAEL,susan's,1
MICHAEL,opens,2
MICHAEL,door,2
MICHAEL,hadn't,1
MICHAEL,while,4
MICHAEL,how's,2
MICHAEL,lost,2
MICHAEL,father,8
MICHAEL,9,1
MICHAEL,adopted,1
MICHAEL,custody,1
MICHAEL,idea,5
MICHAEL,grabbing,2
MICHAEL,collar,1
MICHAEL,shoving,1
MICHAEL,bitch,3
MICHAEL,knows,7
MICHAEL,picks,3
MICHAEL,leash,1
MICHAEL,wou,1
MICHAEL,explain,5
MICHAEL,loved,1
MICHAEL,each,2
MICHAEL,very,5
MICHAEL,indicating,1
MICHAEL,set,4
MICHAEL,box,2
MICHAEL,envelope,1
MICHAEL,does,7
MICHAEL,loves,2
MICHAEL,choice,1
MICHAEL,guardian,1
MICHAEL,disappear,1
MICHAEL,whenever,1
MICHAEL,hang,2
MICHAEL,drops,1
MICHAEL,comes,1
MICHAEL,use,7
MICHAEL,tying,1
MICHAEL,vines,1
MICHAEL,hold,7
MICHAEL,onto,1
MICHAEL,tight,3
MICHAEL,behind,2
MICHAEL,pull,4
MICHAEL,glad,4
MICHAEL,safe,1
MICHAEL,present,1
MICHAEL,gives,1
MICHAEL,wooden,1
MICHAEL,pictures,1
MICHAEL,ahead,2
MICHAEL,every,5
MICHAEL,card,1
MICHAEL,letter,1
MICHAEL,sent,1
MICHAEL,mmhmm,1
MICHAEL,them,25
MICHAEL,either,4
MICHAEL,means,1
MICHAEL,somewhere,1
MICHAEL,inside,1
MICHAEL,2nd,1
MICHAEL,birthday,1
MICHAEL,laugh,1
MICHAEL,alive,3
MICHAEL,swear,2
MICHAEL,pushing,2
MICHAEL,stuck,1
MICHAEL,nose,1
MICHAEL,belong,1
MICHAEL,finished,2
MICHAEL,yours,3
MICHAEL,love,5
MICHAEL,new,5
MICHAEL,york,3
MICHAEL,city,2
MICHAEL,show,2
MICHAEL,buildings,1
MICHAEL,architecture,1
MICHAEL,til,1
MICHAEL,saw,5
MICHAEL,flat,2
MICHAEL,iron,1
MICHAEL,oldest,1
MICHAEL,skyscraper,1
MICHAEL,built,2
MICHAEL,1902,1
MICHAEL,inspired,1
MICHAEL,drawing,1
MICHAEL,designing,1
MICHAEL,course,3
MICHAEL,decking,2
MICHAEL,cabin,1
MICHAEL,storage,1
MICHAEL,bins,1
MICHAEL,queen,1
MICHAEL,mary,1
MICHAEL,room,4
MICHAEL,4,6
MICHAEL,spot,1
